COR,LIMITAÇÃO,DESCRIÇÃO,FERRAMENTAS
,Escopo funcional limitado,Recursos que atendem apenas parte das necessidades relacionadas à acessibilidade ou que foram concebidos para contextos específicos de utilização.,"Level Access AMP ([5]), TPGi ARC ([8]), Acquia Optimize ([8]), EqualWeb ([9]), Lighthouse ([17])"
,Dependência de validação/intervenção humana,"Recursos que necessitam de validações, correções ou complementações realizadas manualmente, não sendo suficientes para garantir a implementação da acessibilidade de forma autônoma.","DubBot ([5]), Google Sheets / Excel ([7]), AccessiBe ([8], [18]), WAVE ([29], [31]), Deque ([29]), HTML Semântico / Estados de Foco / Rótulos (Labels) ([30]), Axe-core([31]), Lighthouse ([31]), Monsido ([31]), Siteimprove([31]), Silktide([31]), CrownPeak ([31]), Árvore de acessibilidade([37])"
,Restrições de disponibilidade,"Limitações relacionadas ao modelo de licenciamento, custos, planos comerciais ou restrições de acesso às funcionalidades disponibilizadas pelos recursos.","SiteImprove ([5], [8]), EqualWeb ([5], [8]), Level Access AMP ([5], [9]), AudioEye ([5]), Tenon.ai (Level Access) ([8]), Silktide ([8]), Acquia Optimize ([8]), Axe DevTools ([32])"
,Complexidade de utilização,"Recursos cuja adoção exige maior esforço de aprendizagem, configuração ou conhecimento técnico, podendo dificultar sua utilização por desenvolvedores menos experientes.","SiteImprove ([5], [9]), Acquia Optimize ([5], [9]), UserWay ([5]), BrowserStack Accessibility Testing ([8]), TPGi ARC ([8]), Tenon.ai (Level Access) ([8]), Silktide ([8])"
,Informações ou funcionalidades insuficientes,"Recursos que fornecem relatórios, funcionalidades ou mecanismos de apoio considerados insuficientes para determinadas necessidades de implementação ou avaliação da acessibilidade.","BrowserStack Accessibility Testing ([5]), DubBot ([5]), Silktide ([5]), AccessiBe ([9]), ARIA-labels ([9])"
,Cobertura limitada da implementação,"Quando a ferramenta foi concebida para acessibilidade, mas não consegue cobrir todos os problemas ou apenas complementa outras abordagens","AccessiBe ([5], [8]), UserWay ([5], [8], [9]), AudioEye ([8]), AllAccessible ([9]), Accessibility Statement ([11]), Axe Lint ([15]), Lighthouse ([19], [31]), Axe DevTools Pro ([20]), WAVE ([31], [33]), Axe-core ([31]), Monsido ([31]), Siteimprove ([31]), Silktide ([31]), CrownPeak ([31]), Web Developer by Chris ([31], [34])"
,Compatibilidade e integração,"Limitações relacionadas à compatibilidade com plataformas, navegadores, tecnologias, frameworks ou à integração com o ambiente de desenvolvimento e interfaces existentes.","EqualWeb ([5]), UserWay ([8]), Accessibility Insights Microsoft ([8], [34), Axe-core ([23])"
,Desempenho e eficiência operacional,"Limitações associadas ao desempenho, tempo de execução, estabilidade ou eficiência dos recursos durante sua utilização em ambientes de desenvolvimento ou projetos reais.","Acquia Optimize ([5]), Pa11y ([23]), Accessibility Insights Microsoft ([34]), Contrast Checker ([35])"
,Escalabilidade limitada,"Recursos cuja utilização se torna menos eficiente à medida que aumenta a quantidade de projetos, páginas, usuários ou problemas a serem gerenciados.","UsableNet AQA ([5]), Google Sheets / Excel ([7]), Accessibility Insights Microsoft ([8]), HTML Semântico / Estados de Foco / Rótulos (Labels) ([30])"
,Aceitação e confiança profissional,"Limitações decorrentes da baixa aceitação dos recursos por especialistas, organizações ou pela comunidade de acessibilidade, reduzindo a confiança em sua adoção como solução principal.","AudioEye ([5]), AccessiBe ([8])"
