ID ARTIGO,RECURSO,CITAÇÃO DA LIMITAÇÃO,LIMITAÇÃO
1,não especifica,não informado,
2,IBM Equal Access Accessibility Checker,não informado,
2,Accessibility Insights for Web,não informado,
2,DigitalA11Y Tublets,não informado,
2,HalfAccessible — Accessibility Toolkit,não informado,
2,A11y Quick Check,não informado,
2,Accessibility Tracker,não informado,
3,Guia para comprar Software e ferramentas de acessibilidade,não informado,
4,Accessibility Tracker,não informado,
5,UsableNet AQA,"""It offers automated accessibility testing that checks for WCAG issues and helps you understand where your site falls short. I used it on few projects over the years and it did good job on smaller sites. But its limitations usually showed up when project grew. Scan times increased and reports needed more digging than I liked.""
""Ela oferece testes automatizados de acessibilidade que verificam problemas de WCAG e ajudam você a entender onde seu site falha. Usei-a em alguns projetos ao longo dos anos e ela fez um bom trabalho em sites menores. Mas suas limitações geralmente apareciam quando o projeto crescia. O tempo de varredura aumentava e os relatórios exigiam mais investigação do que eu gostaria.""
",Escalabilidade limitada
5,SiteImprove,"""Platform can feel very heavy and complex if you just want to check few pages quickly. It’s generally one of the more expensive options, which makes it hard to justify for smaller teams or individual projects"" A plataforma pode parecer muito pesada e complexa se você quiser apenas verificar algumas páginas rapidamente. Geralmente é uma das opções mais caras, o que torna difícil justificá-la para equipes menores ou projetos individuais.""","Complexidade de utilização, Restrições de disponibilidade"
5,BrowserStack Accessibility Testing," ""Reports are clean but some users may need more depth in some areas. Since it’s full professional platform, there’s small learning curve.""
""Os relatórios são limpos, mas alguns usuários podem precisar de mais profundidade em algumas áreas. Por ser uma plataforma profissional completa, há uma pequena curva de aprendizado.""",Informações ou funcionalidades insuficientes
5,AccessiBe,"""Overlay approach doesn’t fix underlying code, which means core site might still be broken for some users. Many accessibility experts argue that relying solely on overlay is not substitute for true & code-level accessibility.""  ""A abordagem de sobreposição (overlay) não corrige o código subjacente, o que significa que o site principal ainda pode estar quebrado para alguns usuários. Muitos especialistas em acessibilidade argumentam que confiar apenas em sobreposição não substitui a acessibilidade real e em nível de código.""",Cobertura limitada da implementação
5,EqualWeb,"""Cost difference between automated tool and managed service is steep. Like other widget tools, it can sometimes clutter your UI or conflict with your existing site layout."" ""A diferença de custo entre a ferramenta automatizada e o serviço gerenciado é acentuada. Como outras ferramentas de widget, ela às vezes pode poluir sua interface de usuário ou entrar em conflito com o layout existente do seu site.""","Compatibilidade e integração, Restrições de disponibilidade"
