ID ARTIGO,Recurso,Categoria,link plataforma,Tipo de Sistema,Problema de Acessibilidade,Custo,Automatizado,Tecnologias Compatíveis,Relatos com relação a eficácia,Limitações,Público,Serve para projetos pequenos ou grandes Empresas?,Necessita treinamento?,Tempo que o profissinal usou a ferramenta
1,não especifica,"teste, validação",,"WEB, mobile","A plataforma funciona baseado em auditoria em vez de varredura, plataformas que forneçam etiquetas de status claras para cada problema de acessibilidade, plataforma deve permitir a atribuição de tarefas específicas a membros individuais da equipe, plataformas que permitem classificar/priorizar problemas, plataformas que ofereçam fluxos de trabalho de validação, nos quais auditores ou especialistas em acessibilidade possam confirmar se as correções foram implementadas corretamente, plataformas que gerenciem múltiplos projetos simultaneamente, ferramentas de IA podem fornecer explicações (como relatórios de progresso gerados automaticamente e insights de IA), análises em tempo real com visualizações de dados",não informado,não,não especificado,"""Com o avanço da inteligência artificial, as plataformas de acessibilidade agora são capazes de causar um impacto significativo em seus projetos de acessibilidade e conformidade.""",não informado,Equipe,não informa,não informado,não informado
2,IBM Equal Access Accessibility Checker,"teste, validação",,WEB,conformidade WCAG geral (navegação por teclado),gratuito,sim,"NodeJS, Selenium, Puppeteer, Playwright,  DevTools",não informado,não informado,"auditores, DEV individual, Equipe , designers",não informa,não informado,não informado
2,Accessibility Insights for Web,"teste, validação",,WEB,"conformidade WCAG 2.1 e 2.2 AA, navegação por teclado",gratuito,sim,Chrome,não informado,não informado,"auditores, DEV individual, Equipe , designers",não informa,não informado,não informado
2,DigitalA11Y Tublets,"teste, validação",,WEB,"estrutura semântica, formulários, tamanho de alvo (WCAG 2.2 SC 2.5.8)",não informado,sim,Chrome,não informado,não informado,"auditores, DEV individual, Equipe , designers",não informa,não informado,não informado
2,HalfAccessible — Accessibility Toolkit,"teste, validação",,"WEB, mobile","tamanho de alvo touch (44x44px), aria-labels, alt text, hierarquia de headings, espaçamento de texto (WCAG SC 1.4.12)",não informado,sim,Chrome,não informado,não informado,"auditores, DEV individual, Equipe , designers",não informa,não informado,não informado
2,A11y Quick Check,"teste, validação",,WEB,"avalia nível geral de acessibilidade, alt text, contraste de cor",não informado,sim,Chrome,não informado,não informado,"auditores, DEV individual, Equipe , designers, criador de conteúdo",não informa,"""Oferece um ponto de partida acessível para criadores de conteúdo e designers que estão começando a trabalhar com acessibilidade""",não informado
2,Accessibility Tracker,validação,,WEB,conformidade WCAG geral,não informado,sim,Chrome,não informado,não informado,"auditores, DEV individual, Equipe , designers",não informa,não informado,não informado
3,Guia para comprar Software e ferramentas de acessibilidade,validação,,WEB,conformidade WCAG geral,não informado,não se aplica,não especificado,não informado,não informado,não informado,não informa,não informado,não informado
4,Accessibility Tracker,validação,,WEB,conformidade WCAG geral / conformidade ADA,não informado,parcialmente,não especificado,"""...com novas plataformas baseadas em auditoria, como o Accessibility Tracker, agora é possível monitorar a conformidade""",não informado,Equipe,não informa,não informado,não informado
5,UsableNet AQA,"teste, validação",,WEB,Oferece testes automatizados de acessibilidade que verificam problemas de acordo com as WCAG e ajudam a entender onde seu site precisa melhorar,pago,sim,não especificado,"""Usei-o em alguns projetos ao longo dos anos e funcionou bem em sites menores.""","""It offers automated accessibility testing that checks for WCAG issues and helps you understand where your site falls short. I used it on few projects over the years and it did good job on smaller sites. But its limitations usually showed up when project grew. Scan times increased and reports needed more digging than I liked.""
""Ela oferece testes automatizados de acessibilidade que verificam problemas de WCAG e ajudam você a entender onde seu site falha. Usei-a em alguns projetos ao longo dos anos e ela fez um bom trabalho em sites menores. Mas suas limitações geralmente apareciam quando o projeto crescia. O tempo de varredura aumentava e os relatórios exigiam mais investigação do que eu gostaria.""
","DEV individual, Equipe","Projetos pequenos, Empresas","A curva de aprendizado é íngreme: não é uma ferramenta pronta para usar. Usuários no G2 mencionaram que existe uma ""curva de aprendizado considerável"" para entender todas as funcionalidades da ferramenta.",não informado
