ID,Base,Título,Link,Parecer,Critérios
1,MEDIUM,Accessibility Platforms: The Top 10 Qualities to Look For,https://medium.com/@adabook/accessibility-platforms-the-top-10-qualities-to-look-for-313aa0c2d498?source=tag_archive------accessibility_tools---0-----------------------------------,Aprovado,Inclusão 1
2,MEDIUM,Accessibility meets AI: navigating an evolving landscape,https://medium.com/blue-trail-software/accessibility-meets-ai-navigating-an-evolving-landscape-e454833b2a10?source=tag_archive------accessibility_tools---1-----------------------------------,Reprovado,Exclusão 5
3,MEDIUM,Best Rated Accessibility Tools in Chrome Web Store,https://medium.com/@adabook/best-rated-accessibility-tools-in-chrome-web-store-61b2768e17c5?source=tag_archive------accessibility_tools---2-----------------------------------,Aprovado,Inclusão 1
4,MEDIUM,Mr. Market’s Guide to Buying Web Accessibility Software and Tools,https://medium.com/@adabook/mr-markets-guide-to-buying-web-accessibility-software-and-tools-3ac66375032d?source=tag_archive------accessibility_tools---3-----------------------------------,Aprovado,Inclusão 1
5,MEDIUM,How To Track ADA Website Compliance,https://medium.com/@adabook/how-to-track-ada-website-compliance-06f82be670ae?source=tag_archive------accessibility_tools---4-----------------------------------,Aprovado,Inclusão 1
6,MEDIUM,9 Best Usablenet AQA Alternatives in 2025 [ Free & Paid],https://medium.com/@crissyjoshua/9-best-usablenet-aqa-alternatives-in-2025-free-paid-f368ea02057c?source=tag_archive------accessibility_tools---5-----------------------------------,Aprovado,Inclusão 1
7,MEDIUM,Acquia Optimize vs BrowserStack: Which Accessibility Testing Tool to Choose in 2025?,https://medium.com/@crissyjoshua/acquia-optimize-vs-browserstack-which-accessibility-testing-tool-to-choose-in-2025-dcf3cc0fec18?source=tag_archive------accessibility_tools---6-----------------------------------,Aprovado,Inclusão 1
8,MEDIUM,How to Track Accessibility Issues with Google Sheets (or Excel),https://medium.com/@adabook/how-to-track-accessibility-issues-with-google-sheets-or-excel-f482265c1012?source=tag_archive------accessibility_tools---7-----------------------------------,Aprovado,Inclusão 1
9,MEDIUM,Top 10 DYNO Mapper Alternatives for Accessibility Testing in 2025 [Free & Paid],https://medium.com/@crissyjoshua/top-10-dyno-mapper-alternatives-for-accessibility-testing-in-2025-free-paid-594b94c15192?source=tag_archive------accessibility_tools---8-----------------------------------,Aprovado,Inclusão 1
10,MEDIUM,Dubbot Alternatives: My Top 9 Recommendations for Accessibility Testing in 2025,https://medium.com/@crissyjoshua/dubbot-alternatives-my-top-9-recommendations-for-accessibility-testing-in-2025-46a8353283eb?source=tag_archive------accessibility_tools---9-----------------------------------,Aprovado,Inclusão 1
11,MEDIUM,Nigeria Is for the Rich: Reflections by Karris Odidi,https://medium.com/@innercollective/nigeria-is-for-the-rich-reflections-by-karris-odidi-289178a5c822?source=tag_archive------accessibility_tools---10-----------------------------------,Reprovado,Exclusão 5
12,MEDIUM,My Healthy Obsession With Saving Time (+Accessibility Tracker),https://medium.com/@adabook/my-healthy-obsession-with-saving-time-accessibility-tracker-51eacbd05e74?source=tag_archive------accessibility_tools---11-----------------------------------,Aprovado,Inclusão 1
13,MEDIUM,How to Create an Accessibility Statement,https://medium.com/design-domination/how-to-create-an-accessibility-statement-7f01d73a06d9?source=tag_archive------accessibility_tools---12-----------------------------------,Aprovado,Inclusão 1
14,MEDIUM,Empowering All Users: The Accessibility Revolution in Tech,https://medium.com/@divyapanwar421/empowering-all-users-the-accessibility-revolution-in-tech-6e0f64967a18?source=tag_archive------accessibility_tools---13-----------------------------------,Aprovado,Inclusão 1
15,MEDIUM,Music Making for Everyone,https://medium.com/@asshetono/music-making-for-everyone-873e197084a0?source=tag_archive------accessibility_tools---14-----------------------------------,Reprovado,Exclusão 5
16,MEDIUM,Designing for Everyone: A UI/UX Guide to Accessible Experiences,https://medium.com/@Kamalramesh/designing-for-everyone-a-ui-ux-guide-to-accessible-experiences-8802d23c9940?source=tag_archive------accessibility_tools---15-----------------------------------,Aprovado,Inclusão 1
17,MEDIUM,Accessibility Evaluation for Programiz Pro— a Code Learning Platform,https://medium.com/@shriistee/accessibility-evaluation-for-programiz-pro-a-code-learning-platform-c5464dd9498e?source=tag_archive------accessibility_tools---16-----------------------------------,Aprovado,Inclusão 1
18,MEDIUM,Accessibility tools for dummy devs,https://medium.com/@vanessa.o.giannoni/accessibility-tools-for-dummy-devs-cf501cd1cd15?source=tag_archive------accessibility_tools---17-----------------------------------,Aprovado,Inclusão 1
19,MEDIUM,Accessibility in Design: How to Make Your Designs More Accessible,https://medium.com/code-like-a-girl/accessibility-in-design-how-to-make-your-designs-more-accessible-f172feb96709?source=tag_archive------accessibility_tools---18-----------------------------------,Aprovado,Inclusão 1
20,MEDIUM,Microsoft alati za pristupačnost,https://medium.com/inovativno-obrazovanje/microsoft-alati-za-pristupa%C4%8Dnost-86c609e1da76?source=tag_archive------accessibility_tools---19-----------------------------------,Reprovado,Exclusão 2
21,MEDIUM,Accessibility Testing: Respecting the difference,https://medium.com/@ambahera/accessibility-testing-respecting-the-difference-b5759a5003d0?source=tag_archive------accessibility_tools---20-----------------------------------,Aprovado,Inclusão 1
22,MEDIUM,The Symbiosis of Accessibility Testing Tools and SEO,https://medium.com/globant/the-symbiosis-of-accessibility-testing-tools-and-seo-83192a999610?source=tag_archive------accessibility_tools---21-----------------------------------,Aprovado,Inclusão 1
23,MEDIUM,The Essential Toolkit for Product Designers,https://medium.com/@1prashant/the-essential-toolkit-for-product-designers-eb193853f2c5?source=tag_archive------accessibility_tools---22-----------------------------------,Reprovado,Exclusão 5
24,MEDIUM,APCA: новый алгоритм для тестирования контраста в интерфейсах. WCAG все?,https://medium.com/@sergei.shilo/apca-%D0%BD%D0%BE%D0%B2%D1%8B%D0%B9-%D0%B0%D0%BB%D0%B3%D0%BE%D1%80%D0%B8%D1%82%D0%BC-%D0%B4%D0%BB%D1%8F-%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F-%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%B0%D1%81%D1%82%D0%B0-%D0%B2-%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D1%84%D0%B5%D0%B9%D1%81%D0%B0%D1%85-wcag-%D0%B2%D1%81%D0%B5-97352c3a7f9b?source=tag_archive------accessibility_tools---23-----------------------------------,Reprovado,Exclusão 2
25,MEDIUM,"Accessibility, creating a step-free route",https://medium.com/mojo-mortgages/accessibility-creating-a-step-free-route-55b4c218a0cd?source=tag_archive------accessibility_tools---24-----------------------------------,Aprovado,Inclusão 1
26,MEDIUM,axe DevTools Pro,https://medium.com/@ayusharma24/axe-devtools-pro-11902f1af166?source=tag_archive------accessibility_tools---25-----------------------------------,Aprovado,Inclusão 1
27,MEDIUM,Navigating Life’s Endless Roads,https://medium.com/bouncin-and-behavin-blogs/navigating-lifes-endless-roads-0d22397a8e3d?source=tag_archive------accessibility_tools---26-----------------------------------,Reprovado,Exclusão 5
28,MEDIUM,Embracing Accessibility in UX Design: Beyond Compliance to Inclusion,https://medium.com/design-bootcamp/embracing-accessibility-in-ux-design-beyond-compliance-to-inclusion-d60a5bb2b091?source=tag_archive------accessibility_tools---27-----------------------------------,Aprovado,Inclusão 1
29,MEDIUM,Assistive Devices for the Deaf-Blind,https://medium.com/bouncin-and-behavin-blogs/assistive-devices-for-the-deaf-blind-b84397f78300?source=tag_archive------accessibility_tools---28-----------------------------------,Reprovado,Exclusão 5
30,MEDIUM,Crafting Digital Inclusivity: A Journey into WCAG Standards,https://medium.com/@shahriarshanto2102/crafting-digital-inclusivity-a-journey-into-wcag-standards-5d1962122ff0?source=tag_archive------accessibility_tools---29-----------------------------------,Aprovado,Inclusão 1
31,MEDIUM,MagGlass: A Digital Beacon for the Visually Impaired to Traverse the World with Assurance,https://medium.com/@stephane.epiphane.lefebvre/magglass-a-digital-beacon-for-the-visually-impaired-to-traverse-the-world-with-assurance-fdf84bf577f1?source=tag_archive------accessibility_tools---30-----------------------------------,Reprovado,Exclusão 5
32,MEDIUM,Combining axe-core and PA11Y,https://medium.com/@abbott567/combining-axe-core-and-pa11y-fa4fe64e9676?source=tag_archive------accessibility_tools---31-----------------------------------,Aprovado,Inclusão 1
33,MEDIUM,12 Google extensions that every developer needs,https://medium.com/@shirleyberchel/12-google-extensions-that-every-developer-needs-efec557875a4?source=tag_archive------accessibility_tools---32-----------------------------------,Aprovado,Inclusão 1
34,MEDIUM,Empowering Inclusivity: Enhancing Accessibility on a WordPress Website,https://medium.com/@accanouman/empowering-inclusivity-enhancing-accessibility-on-a-wordpress-website-5c3c07e8b96f?source=tag_archive------accessibility_tools---33-----------------------------------,Aprovado,Inclusão 1
35,MEDIUM,Enhancing User Experience with Stark Accessibility Tools,https://medium.com/nonstopio/enhancing-user-experience-with-stark-accessibility-tools-ec451e777a3f?source=tag_archive------accessibility_tools---34-----------------------------------,Aprovado,Inclusão 1
36,MEDIUM,Designing for inclusion,https://medium.com/design-bootcamp/designing-for-inclusion-ae3fb3dd15c6?source=tag_archive------accessibility_tools---35-----------------------------------,Aprovado,Inclusão 1
37,MEDIUM,Breaking Barriers: The Importance of Accessibility and Inclusivity,https://medium.com/pm101/breaking-barriers-the-importance-of-accessibility-and-inclusivity-in-todays-society-a6ffed2b8078?source=tag_archive------accessibility_tools---36-----------------------------------,Reprovado,Exclusão 5
38,MEDIUM,"POUR…Yes, that's what I want to talk about next!",https://medium.com/@sakshikohli.asm/pour-yes-thats-what-i-want-to-talk-about-next-1b7bb66edc31?source=tag_archive------accessibility_tools---37-----------------------------------,Aprovado,Inclusão 1
39,MEDIUM,"Accessibility Hack Week 2023: What we did, what we learned",https://medium.com/jotform-tech/accessibility-hack-week-2023-what-we-did-what-we-learned-8815f00bdebf?source=tag_archive------accessibility_tools---38-----------------------------------,Aprovado,Inclusão 3
40,MEDIUM,Accessibility Quick Start Guide,https://medium.com/design-bootcamp/accessibility-quick-start-guide-7afa6d12ed21?source=tag_archive------accessibility_tools---39-----------------------------------,Aprovado,Inclusão 1
41,MEDIUM,Accessibility Basics — The internet is for everyone part 3,https://medium.com/@Meondi/accessibility-basics-the-internet-is-for-everyone-part-3-a096d27f7faa?source=tag_archive------accessibility_tools---40-----------------------------------,Aprovado,Inclusão 1
42,MEDIUM,Paying For Automated Website Accessibility Scans Doesn’t Make Sense,https://medium.com/@adabook/paying-for-automated-website-accessibility-scans-doesnt-make-sense-f824098c7163?source=tag_archive------accessibility_tools---41-----------------------------------,Aprovado,Inclusão 1
43,MEDIUM,Web Accessibility,https://medium.com/towardsdev/web-accessibility-642efb997901?source=tag_archive------accessibility_tools---42-----------------------------------,Aprovado,Inclusão 1
44,MEDIUM,Perception of color in the interface: why we see it differently,https://medium.com/user-experience-design-1/perception-of-color-in-the-interface-why-we-see-it-differently-ab2e493d1ad3?source=tag_archive------accessibility_tools---43-----------------------------------,Reprovado,Exclusão 5
45,MEDIUM,The current state of UX accessibility in public transportation,https://medium.com/user-experience-design-1/the-current-state-of-ux-accessibility-in-public-transportation-4a342e9b98df?source=tag_archive------accessibility_tools---44-----------------------------------,Reprovado,Exclusão 5
46,MEDIUM,Apple’s life-changing accessibility features.,https://medium.com/design-bootcamp/knowing-these-iphone-features-can-make-life-easier-8bdd501684cd?source=tag_archive------accessibility_tools---45-----------------------------------,Reprovado,Exclusão 5
47,MEDIUM,The best accessibility chrome extensions,https://medium.com/@giovanicamara/the-best-accessibility-chrome-extensions-b36f3271f269?source=tag_archive------accessibility_tools---46-----------------------------------,Aprovado,Inclusão 1
48,MEDIUM,Testing web accessibility: Reflow efficiently,https://medium.com/@markwiemer/testing-web-accessibility-reflow-efficiently-a506924c71f0?source=tag_archive------accessibility_tools---47-----------------------------------,Aprovado,Inclusão 1
49,MEDIUM,Emerging trends in digital accessibility,https://medium.com/@contextcreative/emerging-trends-in-digital-accessibility-1152290de49b?source=tag_archive------accessibility_tools---48-----------------------------------,Reprovado,Exclusão 5
50,MEDIUM,This Chrome Extension Helps Me Write Better and Read Faster,https://medium.com/@clairehudak/this-chrome-extension-helps-me-write-better-and-read-faster-9a40f082d233?source=tag_archive------accessibility_tools---49-----------------------------------,Reprovado,Exclusão 5
51,MEDIUM,Accessibility tools and tips for Designers,https://medium.com/leniolabs/accessibility-tools-and-tips-for-designers-b13ba4bc5422?source=tag_archive------accessibility_tools---50-----------------------------------,Aprovado,Inclusão 1
52,MEDIUM,Three methods to make content accessible,https://medium.com/design-bootcamp/3-methods-to-make-content-accessible-5adcfe503fee?source=tag_archive------accessibility_tools---51-----------------------------------,Aprovado,Inclusão 1
53,MEDIUM,The accessibility tree: understanding and debugging,https://medium.com/@sbeaumontweb/the-accessibility-tree-understanding-and-debugging-fab9df75a1d0?source=tag_archive------accessibility_tools---52-----------------------------------,Aprovado,Inclusão 1
54,MEDIUM,Accessibility Tools and GAAD,https://medium.com/@balayogig/accessibility-tools-and-gaad-3b7897c1c850?source=tag_archive------accessibility_tools---53-----------------------------------,Aprovado,Inclusão 1
55,MEDIUM,Improve your application accessibility with these amazing tools and tips,https://medium.com/@williamstakayama/improve-your-application-accessibility-with-these-amazing-tools-and-tips-3a137d5927f6?source=tag_archive------accessibility_tools---54-----------------------------------,Aprovado,Inclusão 1
56,MEDIUM,Leveraging Accessibility design in iOS development.,https://medium.com/@dieubangmach/leveraging-accessibility-design-in-ios-development-4add93dac36e?source=tag_archive------accessibility_tools---55-----------------------------------,Aprovado,Inclusão 1
57,MEDIUM,What Are Some of the Best Web Accessibility Testing Tools to Evaluate Your Website With?,https://medium.com/@OPTASY.com/what-are-some-of-the-best-web-accessibility-testing-tools-to-evaluate-your-website-with-69def25a386?source=tag_archive------accessibility_tools---56-----------------------------------,Aprovado,Inclusão 1
58,MEDIUM,Making the Web More Accessible Using Machine Learning,https://medium.com/myplanet-musings/making-the-web-more-accessible-using-machine-learning-8a32eaafdb3a?source=tag_archive------accessibility_tools---57-----------------------------------,Aprovado,Inclusão 1
59,MEDIUM,Web acessibilidade — ferramentas,https://medium.com/@will.matos/web-acessibilidade-ferramentas-a94c13a4d93c?source=tag_archive------accessibility_tools---58-----------------------------------,Aprovado,Inclusão 1
